IID	phenotype	binary	age	sex
base_144	3.9411962677514025	1	178	1
base_145	3.0792676368359198	0	179	0
base_146	5.475099552298687	1	180	1
base_147	4.93654712047786	1	181	0
base_148	4.626618849995987	1	182	1
base_149	1.4899702664287913	0	183	0
base_150	3.6246787277431483	0	184	1
base_151	3.6777544789611576	0	185	0
base_152	3.8667595568050754	1	186	1
base_153	4.137770923492597	1	187	0
base_154	6.305392036161853	1	188	1
base_155	3.3112082330880277	0	189	0
base_156	5.936419686682884	1	190	1
base_157	2.3746853618937123	0	191	0
base_158	3.6789931687190762	0	192	1
base_159	5.830281535339145	1	193	0
base_160	3.834415582758201	0	194	1
